route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
E101,1,MZD-BabatpurAirport 101,Mirzamurad-Mohansarai-Cantt-LBS Airport- Babatpur Chauraha,3,,
E102,1,Mirzamurad-Babatpur 102,Mirzamurad-Mohansarai-Cantt-Babatpur Chauraha,3,,
E103,1,Mirzamurad-Cantt-Lanka103,Mirzamurad-Kachhawan-Mohansarai- Cantt- Bhelupur-Lanka,3,,
E104,1,Mirzamurad-Sindharo104,Mirzamurad-Mohansarai-Cantt- Bhojubeer-Sindhora,3,,
E105,1,Mirzamurad-Darsauna-Danganj 105,Mirzamurad-Mohansarai-Cantt-Pandaypur-Dharsauna-Danganj,3,,
E106,1,Mirzamurad-Chubpur-MARKAND 106,Mirzamurad-Mohansarai-Cantt-Pandeypur-Chubeypur-Markandey Mahadev,3,,
E107A,1,Mirzamurad-Sarnath-Lanka 107A,Mirzamurad-Mohansarai-Cantt-Ashapur-Sarnath -Lanka,3,,
E107,1,MZD-Lanka-Sarnath 107,Mirzamurad-Mohansarai-Cantt-Ashapur-Lanka -Sarnath,3,,
E108,1,MZD-DLW-Cantt-Sarnth-Lanka108,Mirzamurad- Akhari-DLW-Cantt-JHV Mall- Kachahari- Ashapur- Sarnath- Cantt-Bhelupur- Lanka-DLW- Cantt,3,,
E109,1,MZD-Cantt-Rajgt- DLW-Lanka109,Mirzamurad-Mohansarai-Cantt-Rajghat-Cantt-DLW-Lanka-Bhelupur-Cantt,3,,
E110,1,MZD-CANT-GODAULIA-CANTT110,Mirzamurad-Mohansarai-Cantt- Girjaghar-  Lahurabir- Chaukaghat- Cantt- Maldahiya- Lahurabir- Maidagin-Golgadda-Cantt,3,,
E111,1,MZD-CANT-GODAULIA-CANTT111,Mirzamurad-Mohansari-Cantt-Golgadda-Rajghat-Cantt- Bhelupur- Lanka,3,,
1,1,Cantt Railway Station - Girja Ghar Crossing,Cantt Railway Station-Sajan Tiraha-Nagar Nigam Tiraha-Rathyathra-Girja Ghar Crossing,6,FF0000,
2,1,Cantt Railway Station - Godowlia,Cantt Railway Station- Varanasi City Station - Khirkia Ghat - Machodari Park - Godowlia,6,00FF00,
3,1,Sarnath - Khirkia Ghat,Sarnath-Ashapur-PanchKoshi Chauraha-Konia-Khirkia Ghat,6,A52A2A,
4,1,Cantt Railway Station - BHU,Cantt Railway Station - Lahartara Crossing - Manduwadih Chauraha  - Bhikaripur Crossing - BHU,6,FFC0CB,
5,1,Rathyathra - Ramnagar,Rathyathra-Vijay Chauraha-BHU-Ramnagar Fort-Ramnagar,6,00FF00,
A1,2,SG-Lanka,Sear Gate-Lanka,2,,
A2,2,VT-Lanka,Vishwanth Temple-Lanka,2,,
A3,2,HG-Lanka,Hyderabad Gate-Lanka,2,,
A4,2,Lanka-Mughalsarai,Lanka-Chittupur-Tenda Mod-Mughalsarai,2,,
A5,2,Lanka-Manduadih,Lanka-Sunderpur-Bhikaripur-DLW Chauraha-Maruadih,2,,
A6,2,Cantt-Lanka,Varanasi Railway Station-Sigra-Kamaccha-Bhelpur Crossing-Durgakund-Sankat Mochan-Lanka,2,,
A7,2,Khari Kuan-Lanka,Khari-Kuan-Bhelpur Crossing-Lanka,2,,
A8,2,Jangamwadi-Lanka,Jangamwadi-Harischandra-Assi Mod-Lanka,2,,
A9,2,Maidagin Crossing-Chetganj,Maidagin Crossing-Lahurabir Chauraha-Chetganj,2,,
A10,2,Luxa-Cantt,Luxa-Sigra-Varanasi Railway Station,2,,
A11,2,Poultry Farm-Cantt,Poultry Farm-Bhithari-Laharara-Varanasi Railway Station,2,,
A12,2,Cantt-Benia Bag,Varanasi Railway Station-Roadways-Lahurabir Chauraha-Benia Baag,2,,
A13,2,Konia-Nag Nig,Konia-Nagar Nigam,2,,
A14,2,Kandwa-Bhikari,Kandwa-Bhikaripur,2,,
A15,2,Benia Baag-Kashi Railway Station,Benia Baag-Maidagin Crossing-Rajghat-Kashi Railway Station,2,,
A16,2,Purani Pul-Benia Baag,Purani Pul-Golgadda-Pillikothi-Maidagin Crossing-Benia Baag,2,,
A17,2,Shivpur-Cantt,Shivpur-Bhojubeer-Kacheri-Roadways-Varanasi Railway Station,2,,
A18,2,Shivpur-Cantt,Shivpur-Varanasi Railway Station,2,,
A19,2,Belwababa-Pandeypur,Belwababa-Pandeypur,2,,
A20,2,Pandeypur-Sarnath,Pandeypur-Pahadia-Ashapur-Sarnath,2,,
A21,2,Kashi Railway Station-Varanasi City,Kashi Railway Station-Nagar Nigam-Golgadda-Varanasi City,2,,
A22,2,Cantt-Varanasi City,Varanasi Railway Station-Roadways-Varanasi City,2,,
A23,2,Cantt-Poultry Farm,Varanasi Railway Station-Lahartara Bhithari-Poultry Farm,2,,
A24,2,Cantt-BSB, Varanasi Railway Station-Benaras Railway Station,2,,


